date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:42	31/31	---M--	200	added ('OK')	text/plain	date:Mon,%2025%20Jan%202021%2011:35:53%20GMT	https://www.kwikydeals.com/robots.txt		(from )
20:33:43	59010/59010	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202021%2016:33:42%20GMT	https://www.kwikydeals.com/	F:/HTT%20Web%20Templates/kwikydeals/www.kwikydeals.com/index.html	(from )
20:33:43	1406/1406	---M--	200	added ('OK')	image/x-icon	date:Tue,%2019%20May%202020%2020:55:28%20GMT	https://www.kwikydeals.com/favicon.ico	F:/HTT%20Web%20Templates/kwikydeals/www.kwikydeals.com/favicon.ico	(from https://www.kwikydeals.com/)
20:33:43	59010/59010	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202021%2016:33:43%20GMT	https://www.kwikydeals.com/apple-touch-icon.png	F:/HTT%20Web%20Templates/kwikydeals/www.kwikydeals.com/apple-touch-icon.html	(from https://www.kwikydeals.com/)
20:33:44	144877/144877	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20May%202020%2020:36:18%20GMT	https://www.kwikydeals.com/uniqlo/css/bootstrap.min.css	F:/HTT%20Web%20Templates/kwikydeals/www.kwikydeals.com/uniqlo/css/bootstrap.min.css	(from https://www.kwikydeals.com/)
20:33:44	696/696	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20May%202020%2020:36:52%20GMT	https://www.kwikydeals.com/uniqlo/css/shortcode/shortcodes.css	F:/HTT%20Web%20Templates/kwikydeals/www.kwikydeals.com/uniqlo/css/shortcode/shortcodes.css	(from https://www.kwikydeals.com/)
20:33:45	194037/194037	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20May%202020%2020:36:19%20GMT	https://www.kwikydeals.com/uniqlo/css/plugins.css	F:/HTT%20Web%20Templates/kwikydeals/www.kwikydeals.com/uniqlo/css/plugins.css	(from https://www.kwikydeals.com/)
20:33:45	84082/84082	---M-Z	200	added ('OK')	text/css	date:Tue,%2002%20Jun%202020%2010:55:27%20GMT	https://www.kwikydeals.com/uniqlo/style.css	F:/HTT%20Web%20Templates/kwikydeals/www.kwikydeals.com/uniqlo/style.css	(from https://www.kwikydeals.com/)
20:33:45	25306/25306	---M-Z	200	added ('OK')	text/css	date:Sun,%2031%20May%202020%2007:57:24%20GMT	https://www.kwikydeals.com/uniqlo/css/responsive.css	F:/HTT%20Web%20Templates/kwikydeals/www.kwikydeals.com/uniqlo/css/responsive.css	(from https://www.kwikydeals.com/)
20:33:45	700/700	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20May%202020%2020:36:16%20GMT	https://www.kwikydeals.com/uniqlo/css/custom.css	F:/HTT%20Web%20Templates/kwikydeals/www.kwikydeals.com/uniqlo/css/custom.css	(from https://www.kwikydeals.com/)
